sequence name	start	stop
around_ts_of_AFL2G_07218	2210044	2210054
around_ts_of_AFL2G_06503	109793	109783
around_ts_of_AFL2G_07213	2196034	2196044
around_ts_of_AFL2G_07211_and_AFL2G_07212	2191278	2191268
around_ts_of_AFL2G_07217	2204812	2204822
around_ts_of_AFL2G_07220	2213930	2213920
around_ts_of_AFL2G_06642_and_AFL2G_06643	500857	500867
around_ts_of_AFL2G_06761	830376	830386
around_ts_of_AFL2G_06897	1256841	1256831
around_ts_of_AFL2G_07209_and_AFL2G_07210	2186227	2186217
around_ts_of_AFL2G_06890_and_AFL2G_06891	1233418	1233408
around_ts_of_AFL2G_07227_and_AFL2G_07228	2239504	2239494
around_ts_of_AFL2G_07219	2212581	2212571
around_ts_of_AFL2G_06563	283858	283848
around_ts_of_AFL2G_07219	2212132	2212122
around_ts_of_AFL2G_07222	2219058	2219048
around_ts_of_AFL2G_06513	155222	155232
around_ts_of_AFL2G_06698_and_AFL2G_06699	654277	654287
around_ts_of_AFL2G_06727_and_AFL2G_06728	735662	735652
around_ts_of_AFL2G_06915	1298681	1298691
around_ts_of_AFL2G_07147_and_AFL2G_07148	2029005	2029015
around_ts_of_AFL2G_06816	999551	999561
around_ts_of_AFL2G_06826	1036307	1036297
around_ts_of_AFL2G_07081	1836823	1836833
around_ts_of_AFL2G_07227_and_AFL2G_07228	2239853	2239843
around_ts_of_AFL2G_06709_and_AFL2G_06710	691434	691444
around_ts_of_AFL2G_06754_and_AFL2G_06755	807206	807196
around_ts_of_AFL2G_06698_and_AFL2G_06699	654287	654277
around_ts_of_AFL2G_07081	1837008	1837018
around_ts_of_AFL2G_06563	283848	283858
around_ts_of_AFL2G_07216	2202166	2202156
around_ts_of_AFL2G_06933_and_AFL2G_06934	1361861	1361851
around_ts_of_AFL2G_07180	2115850	2115840
around_ts_of_AFL2G_07214_and_AFL2G_07215	2198466	2198476
around_ts_of_AFL2G_07211_and_AFL2G_07212	2191596	2191586
around_ts_of_AFL2G_07220	2213964	2213954
around_ts_of_AFL2G_07216	2202156	2202166
around_ts_of_AFL2G_06762_and_AFL2G_06763	837198	837188
around_ts_of_AFL2G_06761	830386	830376
around_ts_of_AFL2G_06897	1256831	1256841
around_ts_of_AFL2G_07209_and_AFL2G_07210	2186217	2186227
around_ts_of_AFL2G_07174_and_AFL2G_07175	2105174	2105164
around_ts_of_AFL2G_06673	591127	591137
around_ts_of_AFL2G_07049_and_AFL2G_07050	1732705	1732695
around_ts_of_AFL2G_07196	2155773	2155763
around_ts_of_AFL2G_07220	2213920	2213930
around_ts_of_AFL2G_06761	830246	830256
around_ts_of_AFL2G_06663	564784	564794
around_ts_of_AFL2G_07202_and_AFL2G_07203	2170330	2170320
around_ts_of_AFL2G_06816	999561	999551
around_ts_of_AFL2G_07165	2081260	2081250
around_ts_of_AFL2G_06739_and_AFL2G_06740	761253	761263
around_ts_of_AFL2G_06610	408911	408921
around_ts_of_AFL2G_07211_and_AFL2G_07212	2191268	2191278
around_ts_of_AFL2G_07217	2204822	2204812
around_ts_of_AFL2G_06855_and_AFL2G_06856	1131668	1131678
around_ts_of_AFL2G_06754_and_AFL2G_06755	807587	807597
around_ts_of_AFL2G_06735_and_AFL2G_06736	754068	754058
around_ts_of_AFL2G_06545_and_AFL2G_06546	244550	244540
around_ts_of_AFL2G_07198	2161354	2161344
around_ts_of_AFL2G_06547	246638	246648
around_ts_of_AFL2G_06528	198996	198986
around_ts_of_AFL2G_06866	1172779	1172789
around_ts_of_AFL2G_06953	1430840	1430850
around_ts_of_AFL2G_07047_and_AFL2G_07048	1729073	1729083
around_ts_of_AFL2G_07165	2081906	2081916
around_ts_of_AFL2G_07213	2196044	2196034
around_ts_of_AFL2G_07223_and_AFL2G_07224	2221013	2221023
around_ts_of_AFL2G_06760	818586	818576
around_ts_of_AFL2G_07222	2219048	2219058
around_ts_of_AFL2G_06474_and_AFL2G_06475	15423	15433
around_ts_of_AFL2G_06732	744166	744156
around_ts_of_AFL2G_06805	950873	950863
around_ts_of_AFL2G_07030	1665199	1665189
around_ts_of_AFL2G_07158	2058262	2058272
around_ts_of_AFL2G_06607	398138	398128
around_ts_of_AFL2G_07128_and_AFL2G_07129	1964989	1964979
around_ts_of_AFL2G_07165	2081250	2081260
around_ts_of_AFL2G_06596	368498	368488
around_ts_of_AFL2G_06482	43389	43379
around_ts_of_AFL2G_06775	869748	869738
around_ts_of_AFL2G_07098	1883860	1883870
around_ts_of_AFL2G_06958	1444890	1444900
around_ts_of_AFL2G_07182	2122086	2122076
around_ts_of_AFL2G_07218	2210054	2210044
around_ts_of_AFL2G_06746_and_AFL2G_06747	777539	777529
around_ts_of_AFL2G_06520	175084	175074
around_ts_of_AFL2G_07239	2284637	2284627
around_ts_of_AFL2G_06567_and_AFL2G_06568	294254	294244
around_ts_of_AFL2G_06624_and_AFL2G_06625	444035	444045
around_ts_of_AFL2G_06658_and_AFL2G_06659	556188	556178
around_ts_of_AFL2G_06751	788228	788238
around_ts_of_AFL2G_07000_and_AFL2G_07001	1588557	1588567
around_ts_of_AFL2G_07180	2115840	2115850
around_ts_of_AFL2G_06610	408921	408911
around_ts_of_AFL2G_07016	1630180	1630170
around_ts_of_AFL2G_07198	2160881	2160891
around_ts_of_AFL2G_06703	666179	666169
around_ts_of_AFL2G_06936	1374666	1374656
around_ts_of_AFL2G_06945	1402852	1402842
around_ts_of_AFL2G_07111_and_AFL2G_07112	1922794	1922784
around_ts_of_AFL2G_06541_and_AFL2G_06542	237382	237392
around_ts_of_AFL2G_06592	356140	356150
around_ts_of_AFL2G_06613	417937	417927
around_ts_of_AFL2G_06811	976569	976559
around_ts_of_AFL2G_06905_and_AFL2G_06906	1279844	1279854
around_ts_of_AFL2G_07115	1931152	1931142
around_ts_of_AFL2G_07162	2073265	2073255
around_ts_of_AFL2G_06483	53822	53832
